from_lncRNA,to_mRNA
hsa-mir-31-5p,HDAC2
hsa-circ-0014359,miR-153
hsa_circRNA_101996,miR-8075
miR-8075,TPX2
hsa_circ_0000615,miR-138-5p
miR-138-5p,FOXP4
circRNA8924,hsa-miR-519a-3p
hsa-miR-519a-3p,CBX8
circSEMA4B,hsa-miR-431-5p
hsa-miR-431-5p,SFRP1
hsa-miR-431-5p,GSK-3尾
hsa_circ_0008365,hsa-miR-1271-3p
hsa-miR-1271-3p,ERG
Hsa_circ_0000567,hsa-mir-421
hsa-mir-421,MAPK14
hsa_circ_0022587,hsa-miR-490-3p
hsa-miR-490-3p,PPM1F
Hsa_circ_0000847,hsa-miR-629-3p
hsa_circ_0006220,hsa-mir-203a
hsa-mir-203a,SOCS3
circ_0039411,hsa-mir-93-3p
circRNA100146,hsa-miR-361-3p
circRNA100146,hsa-mir-615-3p
hsa-miR-361-3p,SF3B3
hsa-mir-615-3p,SF3B3
hsa_circ_0000199,hsa-mir-198-5p
hsa-mir-198-5p,PIK3R1
circRNA-3,hsa-miR-182-3p
hsa-miR-182-3p,p27
hsa_circ_0102722,hsa-miR-145-3p
hsa-miR-145-3p,SOX11
CDR1as,hsa-mir-671-3p
hsa-mir-671-3p,CDR1
circ_0034642,hsa-miR-1205
hsa-miR-1205,BATF3
hsa_circ_0000707,miR-607
miR-607,FZD3
hsa_circRNA_102439,p53
hsa_circRNA_102439,Auf1
hsa_circ_0004339,SNF2L
circ-ITCH,hsa-miR-145-3p
hsa-miR-145-3p,RASA
hsa_circ_0067934,miR-3680-3p
miR-3680-3p,AKT3
hsa_circ_0002623,hsa-miR-605
hsa-miR-605,VANGL1
hsa_circ_0135889,HuR
hsa_circ_0001627,hsa-miR-139-3p
hsa-miR-139-3p,LMO4
circC3P1,hsa-mir-4641
circC3P1,PCK1
hsa_circ_0026782,hsa-miR-370
hsa_circRNA_0007874/hsa_circRNA_104135,hsa-miR-221-3p
hsa_circ_0092340,hsa-miR-1253
hsa-miR-1253,FOXF1
Circ_0004771,hsa-miR-149-3p
circPVT1,miR-125b
hsa-miR-125b-5p,E2F2
hsa_circ_0006990,miR-101-3p
hsa_circ_0072088,miR-1261
miR-1261,C8orf4
hsa_circ_0015758,hsa-miR-149-3p
hsa_circ_0001445,hsa-mir-17/20b/93/51
hsa_circ_0001445,miR-181b-5p
has-circ-0001445,hsa-mir-107
hsa-mir-107,TFRC
hsa_circ_0045272,hsa-miR-6127
hsa_circ_0000284,miR-124-3p
miR-124-3p,STAT3
hsa_circ_0000263,hsa-mir-150
hsa-mir-150,MDM4
hsa_circ_0000523,hsa-mir-31-5p
hsa_circ_0001368,miR-6506-5p
hsa_circ_0008039,hsa-miR-432-5p
hsa-miR-432-5p,E2F3
hsa_circ_0008305,hsa-miR-429
hsa_circ_0008305,hsa-miR-200b-5p
hsa-miR-429,TIF1纬
hsa-miR-200b-5p,TIF1纬
hsa_circ_0016788,miR-486
hsa-miR-486-3p,CDK4
hsa_circ_001783,hsa-mir-200c-3p
hsa_circ_0023404,hsa-miR-136-3p
hsa-miR-136-3p,TFCP2
hsa_circ_0052112,hsa-mir-125a-3p
hsa_circ_0072309,hsa-mir-492
hsa_circRNA_103809,miR-4302
miR-4302,ZNF121
circSVIL,miR-203
circADMATS13,hsa-mir-484
hsa_circ_0091702,hsa-mir-200c-3p
hsa-mir-200c-3p,XIAP
circNCX1,miR-133a-3p
miR-133a-3p,CDIP1
circRNA_104670,hsa-mir-17/20b/93/51
hsa-mir-17/20b/93/51,MMP-2
circZMYM2,hsa-miR-335-3p
hsa-miR-335-3p,JMJD2C
hsa_circ_0018665,miR-572
miR-572,RCAN1
circRNA-0067835,hsa-miR-155-3p
hsa-miR-155-3p,FOXO3a
LINC00470,FUS
miR-19b-3p,TSC1
hsa_circ_0012919,hsa-mir-125a-3p
hsa-miR-217,TLR4
hsa_circ_0007534,hsa-miR-593-5p
hsa-miR-593-5p,MUC19
OIP5-AS1,miR-129-5p
KCNQ1OT1,hsa-miR-145-3p
hsa-miR-145-3p,CCNE2
hsa_circRNA_000350,hsa-mir-193a-3p/193b
hsa-mir-193a-3p/193b,Pcdha8
LMCD1-AS1,miR-345-5p
miR-345-5p,COL6A3
RP5-1121A15.1,miR-218-5p
miR-218-5p,SEC61A1
hsa-miR-23a-3p,ATG3
hsa-miR-873-3p,TUSC3
hsa_circ_0001162,miR-124-3p
circ_0008450,hsa-miR-548p
HOTAIR,TTP
circ_0003645,miR-1179
miR-1179,TMEM14A
TROJAN,ZMYND8
circ-Ccnb1,H2AX
circ_0000267,hsa-mir-646
lnc-SLA4A1-1,NF-魏B
HOTAIR,EZH2
HOTAIR,LSD1
pancEts-1,NONO
hsa_circ_0025129,mmu-mir-34a
has-miR-34a,USP7
PART1,hsa-miR-129-5p
miR-129,Bcl-2
RP5-1120P11.3,hsa-miR-133b
FBXL14,hsa-mir-17/20b/93/51
FBXL14,hsa-mir-20a/106b
FER1L4,hsa-miR-372
circ_002136,FUS
circ_002136,miR-138-5p
circ_002136,SOX13
MIR17HG,FXR1
MIR17HG,hsa-miR-425-5p
MIR17HG,hsa-miR-346
hsa-miR-425-5p,TAL1
hsa-miR-346,TAL1
P53RRA,G3BP1
AK022198,HSP90
hsa-miR-221-3p,Cx43
hsa-mir-222,Cx43
TCAM1P,IGF2BP1
TCAM1P,HIST1H1C
RP11-598D14.1,IGF2BP1
RP11-598D14.1,STAU1
h19,hsa-mir-324-3p
hsa-mir-324-3p,PKM2
hsa-miR-4295,CDKN1A
hsa_circ_0080145,miR-29b
hsa-mir-130a-3p,SOX4
hsa_circ_0055625,hsa-mir-106b-3p
hsa-mir-106b-3p,ITGB8
hsa-miR-378a-5p,NCR1
HOTAIR,Runx3
HOXD-AS1,hsa-mir-130a-3p
hsa-mir-130a-3p,E2F8
HPSE,hnRNPU
hsa_circ_0007534,hsa-miR-761
hsa-miR-761,ZIC5
hsa_circ_0061140,hsa-miR-370
hsa-miR-370,FOXM1
hsa_circ_0071589,hsa-miR-600
hsa-miR-600,EZH2
hsa_circ_0103809,hsa-miR-490-3p
hsa-miR-490-3p,SOX2
hsa_circ_0136666,hsa-miR-136-3p
hsa-miR-136-3p,SH2B1
hsa_circRNA_0006528,hsa-miR-7-5p
Hsa_circRNA_33287,hsa-miR-214-5p
hsa-miR-214-5p,Runx3
hsa-miR-497-3p,TGF尾R1
hsa-miR-338-3p,Rab14
hsa-miR-338-3p,Hhat
circ-CTNNB1,DDX3
miR-643,XIAP
FLI1-AS1,CKAP4
circ-ITCH,hsa-miR-214-5p
circ_0005230,hsa-miR-618
hsa-miR-618,CBX8
hsa-miR-493-5p,AKT2
hsa-miR-493-5p,STK38L
AZIN2-sv,Tln1
hsa_circ_0001313,hsa-miR-338-3p
miR-423-5p,GRIM-19
hsa-miR-200a-5p,43531
hsa-miR-200a-5p,ATG7
NONHSAG033589,hsa-miR-133a1
hsa-mir-494-3p,SOCS6
circFNDC3B,hsa-miR-1178-3p
hsa-miR-1178-3p,G3BP2
LINC00152,hsa-mir-193b-3p
BDNF-AS,hsa-miR-130b-3p
BDNF-AS,PRDM5
DLX6-AS1,hsa-miR-144-3p
DLX6-AS1,PRR1
KCNQ1OT1,hsa-miR-138-1-3p
HOXA-AS2,hsa-miR-520c-3p
MALAT1,mmu-mir-34a
OIP5-AS1,miR-186a-5p
LINC00052,hsa-miR-330-3p
LINC00152,hsa-mir-193a-3p/193b
LINC00441,DNMT1
LINC00518,hsa-miR-199a-5p
LINC00969,hsa-miR-335-3p
AC016722.2,hsa-miR-134-5p
AL589743.1,hsa-mir-26a-1
RP4-779E11.3,hsa-mir-1301
SMAD5-AS1,hsa-miR-135b-5p
GSA5,hsa-miR-221-3p
RP11-326F20.5,HuR
CACNA1G-AS1,hsa-miR-2392
DBH-AS1,hsa-miR-138-1-3p
RP11-465N4.4,KLF8
FAM83H-AS1,HuR
FEZF1-AS1,PKM2
FOXD2-AS1,hsa-mir-206
Gm15290,hsa-mir-615-3p
h19,SAHH
h19,miR-194
HOTAIR,hsa-miR-519d
HOTAIR,miR-101
KCNQ1OT1,hsa-miR-214-5p
AL589743.1,cyclin D1
miR-129,SOX2
Meg3,hsa-miR-182-3p
Meg3,microRNA-17
Meg3,hsa-miR-212-5p
Meg3,hsa-mir-494-3p
MT1JP,miR-92a-3p
MT1JP,hsa-miR-214-5p
PVT1,miR-128-3p
SNHG16,hsa-miR-4500
SNHG16,miR-135a
SNHG16,miR-16
SNHG16,hsa-mir-98
LINC00338,hsa-miR-139-3p
SNHG3,miRNA-151a-3p
SNHG5,miR-26a-5p
TDRG1,VEGF-A
THOR,YAP
TUG1,FGF10
CUDR,miR-124
XIST,mmu-mir-34a
ZEB1-AS1,miR-409-3p
RP11-10K16.1,miR-1471
RP11-495P10.7,miR-1273e
CRNDE,hsa-miR-217
LINC00152,hsa-miR-155-3p
DANCR,NF45
DANCR,NF90
DSCR8,hsa-miR-485-3p
EPIC1,MEF2D
LINC00568,hsa-mir-637
LINC00568,PDK1
FGF13-AS1,IGF2BP1
GAS5,sema3a
h19,hsa-miR-194-5p
HOTAIR,hsa-mir-17/20b/93/51
LOC285194,p53
MALAT1,Foxo1
NEAT1,miR-365
CTA-989H11.1,miR-124-3p
OIP5-AS1,hsa-miR-378a-5p
MDNCR,miR-133a
PVT1,hsa-miR-149-3p
PVT1,hsa-mir-150
PVT1,HIG2
PVT1,hsa-miR-143-3p
PVT1,HK2
SNHG15,Slug
RP1-290I10.6,miR-933
CUDR,hsa-miR-185-3p
CUDR,hsa-miR-7-5p
ZFAS1,hsa-mir-10a-3p
FOXD2-AS1,hsa-miR-185-3p
NONHSAG037420,miR-423-5p
NONHSAG037420,p21
CASC9,hsa-miR-519d
CCAT2,FOXC1
DANCR,miR-1972
DLX6-AS1,hsa-miR-424-5p
DQ786243,hsa-miR-506-3p
LL0XNC01-237H1.3,hsa-miR-593-5p
RP11-463O9.5,hsa-miR-1253
AC130710.1,miR-135a
RP11-838N2.4,miR-378
GAS5,miR-196a-5p
HEIH,hsa-miR-939-3p
HOTTIP,hsa-mir-150
HOXC-AS5,hsa-miR-383
LINC00202,hsa-miR-3619-5p
LINC00336,ELAVL1
LINC00339,hsa-miR-22-3p
LINC00339,hsa-miR-377-3p
LINC00483,hsa-miR-144-3p
LINC00511,hsa-miR-185-3p
LINC00858,hsa-miR-139-3p
LINC00858,CDK14
Meg3,miR21
MIR31HG,miR-575
MIR31HG,hsa-miR-214-5p
MLK7-AS1,hsa-miR-375
PVT1,EZH2
TOB1-AS1,hsa-mir-27b-3p
CUDR,hsa-miR-582-3p
linc-UFC1,FOXP3
PCGEM1,hsa-mir-148a
RP11-701P16.4,IGF2BP1
LOC283070,PHB2
EIF3C,miR-545
TUG1,RND3
TUG1,MT2A
RP11-317J10.2,hsa-mir-93-3p
TUSC7,hsa-miR-449a
AC124944.2,STAT3
EGR4,ZNF205-AS1
AL589743.1,hsa-mir-598
PTBP3,NEAT1
RP11-543N12.1,hsa-mir-324-3p
Lin28B,NRP-1
TNRC6A,circ0006916
PAX8,hsa-miR-330-3p
AGAP2-AS1,CBP
TINCR,hsa-miR-7-5p
SP1,PANDAR
TP63,RP11-65J3.1
LINC00652,GLP-1R
Twist1,circ-10720
NONHSAG033244,p21
Meg3,BMP2
RP11-152P17.2,MIF
SP1,LINC00313
ADAMTS9-AS2,hsa-miR-143-3p
BCAR4,GLI2
NONHSAG033244,PRDM5
FENDRR,hsa-miR-126-5p
miR-26a-5p,TLR4
hsa-miR-372,Kaiso
hsa-mir-150,Beclin-1
hsa-mir-150,iASPP
hsa-mir-181a/181b/18,RASSF1A
hsa-miR-199a-5p,RGS17
hsa-mir-19a/19b,RGS17
hsa-miR-23a-3p,HOXA10
hsa-miR-23a-3p,HOXA11
hsa-miR-23a-3p,HOXA5
hsa-miR-301b,CYLD
miR-30c-5p,FOXO3
hsa-mir-32,ADAMTS9
hsa-mir-320a,FoxM1
hsa-miR-370,PAQR4
hsa-miR-449a,c-Met
hsa-miR-449a,HMGB1
hsa-miR-449b-3p,AQP3
hsa-mir-488-3p,ATF3
hsa-mir-488-3p,Sox9 b
hsa-miR-766-3p,Wnt3a
hsa-miR-106a-3p,DUSP2
hsa-mir-125a-3p,Fyn
hsa-mir-128,CCL18
hsa-miR-1287,PIK3CB
hsa-miR-143-3p,ABCA1
hsa-miR-145-3p,ABCA1
hsa-miR-185-3p,RAGE
hsa-miR-200a-5p,A20
hsa-miR-208a-3p,Meg3
hsa-miR-208a-3p,SFRP1
hsa-miR-214-5p,DKK3
hsa-mir-216b,KRAS
hsa-miR-217,DKK1
hsa-mir-324-3p,TSPAN8
miR-3470b,MAVS
hsa-mir-367-3p,PTEN
hsa-miR-375,AK2
miR-423-5p,STMN1
hsa-miR-449a,ADAM22
hsa-miR-454-3p,PPAR-纬
hsa-miR-483-3p,NDRG2
hsa-miR-139-3p,NDRG
miR-495,UBE2C
miR-513a-5p,Bcl-2
hsa-miR-519d,LIMK1
hsa-miR-532-3p,Bcl-9
hsa-miR-5590-3p,DDX5
hsa-miR-590-3p,ATF3
hsa-miR-590-3p,Runx2
miR-592,Spry2
miR-6872-5p,ZNF143
hsa-miR-9-5p,Yap1
hsa-miR-185-3p,ANXA2
miR-124-3p,NRP-1 i
hsa-miR-1290,IKK1
hsa-mir-153,TGFBR2
hsa-miR-139-3p,TGF-尾1
hsa-mir-34c-5p,NOTCH1
circFAT1(e2),YBX1
hsa_circ_0020123,hsa-miR-144-3p
hsa-miR-18b-5p,HBXIP
circ_0029426,hsa-miR-197-3p
circ_0067934,hsa-miR-545-3p
Hsa_circ_0002052,hsa-miR-1205
hsa-miR-138-1-3p,DANCR
miR-129-5p,STAT3
miR-129-5p,PCGEM1
hsa-miR-590-3p,PUM2
hsa-miR-9-5p,PUM2
hsa-miR-522-3p,circ0006916
miR-495,SATB1
hsa-mir-20a/106b,circ_0009910
circRNA.2837,mmu-mir-34a
hsa-miR-155-3p,uc.160
Circ_0025033,miR-1231
Circ_0025033,hsa-miR-1304-3p
Circ_0030235,miR-1231
Circ_0030235,miR-1294
miR-1258,E2F8
hsa-mir-661,circ-UBAP2
hsa-miR-1238-3p,circ_0000502
circ_0001721,hsa-miR-569
circ_0001721,hsa-miR-599
circZfp609,miR-194-5p
hsa-miR-192-3p,HOTTIP
hsa-miR-204-3p,HOTTIP
hsa-miR-141-3p,Meg3
hnRNP A2/B1,HOTAIR
RHAU,BCYRN1
SOX4,DANCR
C-Myc,let-7a-3p
MIR31HG,hsa-mir-193b-3p
BC032469,hsa-miR-1207-5p
ATB,hsa-miR-200a-5p
MALAT1,miR-1
h19,hsa-miR-630
Meg3,miR-1297
lncRNA-NUTF2P3-001,hsa-miR-3923
CUDR,hsa-miR-16-1-3p
CUDR,hsa-miR-143-3p
lnc-MC,hsa-miR-199a-5p
p53,hsa-miR-125b-5p
RUNX3,hsa-mir-130a-3p
RUNX3,miR-495
XIST,EZH2
lnc-DILC,IL-6
hsa-mir-137,Snail
mmu-mir-34a,Snail
hsa-mir-25-3p,RBM24
miR-1254,CCAR1
MYCNOS,CTCF
LINC00511,Brn3a
LINC00511,AR
NONHSAG026010,伪-tubulin
CCAT2,CPSF7
CCAT2,CPSF6
NORAD,PUMILIO
ZFAS1,CDK1
HOTAIR,HIF1A
TINCR,KLF2
TINCR,CDKN1A
TINCR,p15INK4B
CD99P1,伪-SMA
RP11-360A18.2,伪-SMA
HOTAIR,VIM
ZXF2,MYC
MicroRNA-3713,MMP9
hsa-mir-206,TIMP3
hsa-miR-497-3p,Smad3
hsa-miR-22-3p,KAT5
hsa-miR-214-5p,CTNNBIP1
hsa-miR-141-3p,E2F3
hsa-miR-185-3p,STIM1
hsa-mir-451a,eIF1A
hsa-miR-339-5p,MDM2
hsa-miR-339-5p,p53
hsa-miR-339-5p,CDKN1A
hsa-miR-183-3p,ITGB1P
mmu-mir-27a,ZC3H12A
hsa-miR-221-3p,HMGB1
hsa-mir-222,HMGB1
SNORD50A,KRAS
SNORD50B,KRAS
MALAT1,NF-魏B
TINCR,SP1
circIGSF11,hsa-miR-199b-5p
circ_0001649,hsa-mir-331-3p
circ_0001649,hsa-miR-338-3p
hsa_circRNA_103809,hsa-miR-490-3p
circRNA-000425,hsa-mir-17/20b/93/51
circRNA-000425,hsa-mir-106b-3p
hsa_circ_0000177,hsa-mir-638
circRNA8924,hsa-miR-518d-5p
circ-BANP,hsa-miR-503-3p
CircHIPK3,hsa-mir-193a-3p/193b
hsa_circ_0000284,hsa-mir-124
circHIPK3,hsa-miR-138-1-3p
hsa_circ_0067934,miR-1324
Hsa_circ_0046264,hsa-miR-1245a
hsa_circ_0000650,miR-6873-3p
Hsa_circ_0077179,hsa-miR-29b-1-5p
hsa_circ_0008717,hsa-mir-203a
hsa_circ_0002052,hsa-miR-1205
circ-HIPK2,miR-124-3p
circRNA_0005505,miR-3607
Circ-8073,hsa-miR-449a
circMYLK,hsa-miR-29a-5p
circRNA_0084043,miR-153-3p
circ0006916,TNRC6A
circ0006916,hsa-miR-522-3p
hsa_circ_0005075,hsa-miR-431-5p
circ-PDE8A,hsa-miR-338-3p
mm9_circ_009056,miR-22-3p
circMYO9B,miR-4316
circFADS2,miR-498
CDR1as,hsa-miR-135a1
hsa-circ-0012129,hsa-mir-661
circRNA_100284,hsa-miR-217
circ-4099,hsa-miR-616-3p
CDR1as,hsa-miR-876-5p
hsa_circ_0000673,hsa-miR-767-3p
circRNA-FOXO3,hsa-miR-155-3p
hsa_circ_0011946,hsa-mir-26a-1
circPRKCI,hsa-miR-545-3p
circPRKCI,hsa-miR-589-3p
hsa_circ_0001859,hsa-miR-204-3p
hsa_circ_0001859,hsa-miR-211-3p
circMAN2B2,hsa-miR-1275
hsa_circ_0000284,hsa-miR-7-1-3p
hsa_circ_0000284,hsa-miR-506-3p
circ-SHKBP1,hsa-miR-544a
circ-SHKBP1,hsa-miR-379-3p
circATP2B1,hsa-miR-204-3p
GRB10,hsa-miR-328
hsa_circ_0000977,hsa-miR-874
circRNA-000911,hsa-miR-449a
circ-ITCH,hsa-mir-17/20b/93/51
circ-ITCH,hsa-miR-224-5p
circ-NT5C2,hsa-mir-448
circ-NT5C2,hsa-mir-17/20b/93/51
circ-NT5C2,miR-181b-5p
hsa_circ_0012673,hsa-miR-22-3p
circ-ZFR,hsa-mir-130a-3p
circ-ZFR,hsa-mir-107
hsa_circ_0046701,hsa-mir-142-3p
CircDOCK1,hsa-mir-196a1
circRNA BCRC4,hsa-mir-101-1
circHECW2,hsa-miR-30d-3p
CircRNA_100782,hsa-mir-124
hsa_circ_0001564,hsa-mir-29c
CircLRP6,hsa-miR-455-3p
hsa_circ_000984,hsa-mir-106b-3p
hsa_circ_0018289,hsa-miR-497-3p
CircWDR77,hsa-mir-124
circGFRA1,mmu-mir-34a
circRNA_0046367,mmu-mir-34a
circ-BANP,hsa-miR-143-3p
circLARP4,hsa-miR-424-5p
hsa_circ_0045714,hsa-mir-193b-3p
hsa_circ_0000284,hsa-miR-558
hsa_circ_0071410,miR-9-5p
hsa_circ_0008717,hsa-miR-1271-3p
circRNA-100338,hsa-miR-141-3p
hsa_circ_0020397,hsa-miR-138-1-3p
cir-GLI2,hsa-miR-125b-5p
circRNA-MYLK,hsa-miR-29a-5p
Hsa_circ_0010729,hsa-mir-186-3p
circMTO1,hsa-miR-9-5p
CDR1as,hsa-miR-7-1-3p
circ-0016347,hsa-miR-214-5p
hsa_circ_0005986,miR-129-5p
circRNA_100290,hsa-miR-29a-5p
CDR1as,mmu-miR-7a-5p
circ_001569,hsa-miR-145-3p
LINC00313,miR-4429
FAM83H-AS1,CDKN1A
NEAT1,TGFB1
NEAT1,ZEB1
ZFPM2-AS1,MIF
SNHG1,miR-448
SNHG1,IDO1
LINC00222,GSK3B
TP73-AS1,CASP3
TP73-AS1,CASP9
PVT1,miR-133a
FEZF1-AS1,PKM
DANCR,MMP9
HOTTIP,miR-216a-5p
PEG10,miR-3200
CCAT1,BMI1
GAS5,miR-301a
CCDC26,miR-203
CRNDE,CDKN1A
LINC00858,CDK14
HOTAIR,ZEB1
HAGLR,ZEB1
TDRG1,VEGFA
LIFR-AS1,TNFAIP3
THORLNC,YAP1
LINC00339,FOXM1
NNT-AS1,miR-129-5p
CBR3-AS1,TGFB1
CBR3-AS1,PHGDH
HOTAIR,CDKN1A
HOTAIR,RUNX3
ZEB2-AS1,HMGB1
FUNDC2P4,CDH1
SNHG12,ELAVL1
LNCRNA-ATB,YAP1
CYTOR,NRP1
MALAT1,HMGB1
NEAT1,STAT3
MALAT1,STAT3
SNHG5,CASP1
FOXP4-AS1,LATS1
TUG1,miR-29c
LNCRNA-ATB,miR-126
SP1,PANDAR
STAT1,LINC00174
LINC00174,TAZ
TP73-AS1,EZH2
GAS5,miR-196a-5p
MIR22HG,DAPK1
MEG3,miR-21
MIAT,miR-133a
SOX21-AS1,CDKN1A
DICER1-AS1,ATG5
CASC15,miR-33a-5p
FOXO1,RP11-838N2.4
FTX,PPARG
MIR31HG,miR-31
BTG3-AS1,miR-21
CASC2,miR-24-3p
TFAP4,TRERNA1
PVT1,TGFB1
PVT1,SMAD2
PVT1,SMAD3
PVT1,SMAD4
OIP5-AS1,miR-378a-3p
XIST,WNT1
LSINCT5,MYCNOS-01
PCSEAT,EZH2
PVT1,ULK1
MALAT1,miR-142-3p
NEAT1,CDH1
KCNQ1OT1,EZR
SNHG1,CDKN1A
linc-UFC1,LIN28B
SNHG7,GALNT7
UCA1,ABCB1
FENDRR,RUNX1
FEZF1-AS1,AKT3
NEAT1,IGF2
BCYRN1,miR-138
BCAR4,MTOR
BCAR4,VIM
BCAR4,CDH2
BCAR4,CDH1
BLACAT1,ABCB1
TUG1,MKI67
TUG1,HOXB7
TUG1,EZH2
TP53,TUG1
CASC15,SOX4
CASC2,PLXNC1
miR-21,CASC2
CASC2,miR-181a
CASC2,RASSF6
CASC2,PIAS3
CASC2,STAT3
CASC2,FBXW7
CASC2,miR-362-5p
CASC2,EIF4A3
CASC7,ING3
CASC8,FGFR1
CASC9,PDCD4
CASC9,EZH2
CASC9,ABCB1
CAT104,ZEB1
CCAT1,miR-33a
CCAT1,BIRC7
CCAT1,CPEB2
CCAT1,BCL2L1
CCAT1,ZFX
CCAT1,ADAM17
CCAT1,WNT1
CCAT1,STAT3
CCAT1,ZEB1
CCAT1,CDK1
CCAT2,miR-145
CCAT2,miR-424
LINC00460,FOXA1
THORLNC,CTNNB1
LINC00319,KLF12
H19,miR-143
H19,RUNX2
HULC,RTKN
HOXA-AS2,HOXA3
MIAT,EPHA2
LINC01510,CDK14
SNHG16,MUC5AC
EGFR-AS1,miR-223
SNHG16,miR-124-3p
DGCR5,CTNNB1
DGCR5,CCND1
DGCR5,GSK3B
HIF1A-AS2,TP53
SNHG6,SNAI1
SNHG6,SNAI2
SNHG6,NUAK1
LOC728196,TCF7
LINC00052,SOX9
MEG3,NFKB1
MEG3,TP53
BABAM2-AS1,NR4A3
ZFHX4-AS1,FAT4
MEG3,miR-494
HOTTIP,TGFBR1
HOTTIP,TGFBR2
DGCR5,miR-195
WDR86-AS1,LITAF
CDKN2B-AS1,ATM
CDKN2B-AS1,E2F1
OIP5-AS1,AGPAT2
NORAD,miR-202-5p
GACAT3,NAMPT
GClnc1,CDKN1A
GClnc1,TP53
ZEB1-AS1,ZEB1
PVT1,ANGPTL4
WSPAR,TIMMDC1
AL589986.2,MDM2
AL589986.2,DHX9
C5orf66-AS1,RING1
SNHG1,NOTCH1
ADAMTS9-AS2,ITGA6
SNHG6,MAPK6
LINC00472,PDCD4
snaR,TGFB1
AFAP1-AS1,AFAP1
SNHG4,miR-224-3p
HOTAIR,ST8SIA4
UCA1,MAPK1
UCA1,miR-143
FENDRR,miR-761
LINC01503,FOXK1
LINC00662,LIN28A
TUG1,YAP1
PVT1,miR-26b
LINC00844,NDRG1
CYTOR,miR-497
IFNG-AS1,ESRP2
TP73-AS1,SDAD1
AR,TMPO-AS1
MEG3,SMAD7
CEBPB,UCA1
CDKN2B-AS1,ARHGAP18
CDKN2B-AS1,KLF13
LINC00707,ELAVL1
PDCD4-AS1,PDCD4
CCDC144NL-AS1,MMP9
CCDC144NL-AS1,VIM
MIR4435-2HG,FZD7
CDKN2B-AS1,NAP1L1
OIP5-AS1,OIP5
MAP3K20-AS1,CDKN1A
ZEB1,HCCL5
STAT3,LUCAT1
LUCAT1,STAT3
NEAT1,CDK14
NEAT1,CXCR4
LINC00460,SPHK2
CDKN2B-AS1,CDKN1A
CERNA2,CDK6
PANTR1,ROCK1
LSINCT5,HMGA2
LSINCT5,STAT3
LSINCT5,BCL2L1
CDKN2B-AS1,miR-323b-5p
CDKN2B-AS1,TLR4
CDKN2B-AS1,MYD88
CDKN2B-AS1,RELA
AC123023.1,JAG2
CARMN,AXIN2
CASC2,miR-21
XIST,ZEB1
XIST,ZEB2
MEG3,miR-96
MEG3,TPM1
UCA1,ZEB2
GAS5,miR-26a
MIR31HG,HIF1A
MIR31HG,CDKN1A
NEAT1,LEF1
NORAD,FOXO6
BDNF-AS,CASP3
NBAT1,SOX9
SOX9,NBAT1
UCA1,miR-185-5p
SNHG12,FOXP1
FOXD2-AS1,AKT1
IGF2-AS,IGF2
THRIL,CCL2
STAT3,HNF1A-AS1
HNF1A-AS1,NOTCH1
HNF1A-AS1,HES1
HOTTIP,CTNNB1
FER1L4,PTEN
FLVCR1-DT,E2F3
SNHG6,E2F7
DBH-AS1,miR-138
kcna3,YAP1
LINC00473,MMP2
LINC00473,MMP9
GAS5,HOXA5
NIFK-AS1,miR-146a
FALEC,STAT3
LINC00599,KLF16
XIST,miR-214-3p
HOTAIR,MAP1LC3B
HOTAIR,ATG3
HOTAIR,ATG7
HOTAIR,MTOR
miR-182-5p,MALAT1
MIR4435-2HG,miR-6754-5p
MALAT1,SOCS1
SOX2-OT,miR-194-5p
MALAT1,miR-145
VPS9D1-AS1,MYC
HOXA10-AS,HOXA10
MALAT1,HIF1A
MALAT1,NFKB1
IATPR,ROCK1
RMRP,MYC
TMEM75,SIM2
HOXA-AS2,HOXA3
PSG10P,IL1RAP
MALAT1,CDKN1A
DUXAP8,CDKN1A
DUXAP8,KLF2
LINC00961,SNAI2
LINC00961,CDH2
DANCR,ROCK1
H19,TWIST1
HOTAIR,HIF1A
DLX6-AS1,E2F1
GAS5,STAT3
GAS5,miR-21
GAS5,PTEN
GAS5,AKT1
HOTAIR,IGF2BP2
MALAT1,ACVR2B
ZEB1-AS1,ZEB1
HNF1A-AS1,CDC34
EGR1,HNF1A-AS1
APTR,YAP1
Lnc-EPIC1,MYC
PVT1,miR-519d-3p
SNHG1,GSK3B
MNX1-AS1,MAPK3
MNX1-AS1,MAPK1
MNX1-AS1,MAPK8
UCA1,miR-26a
HOXC-AS3,YBX1
miR-212,MEG3
MEG3,SMO
LINC00460,KDM2A
UBE2CP3-001,MMP9
UBE2CP3-001,TRAF3IP2
MIAT,miR-330-5p
HAGLR,CDKN1C
SNHG12,MCL1
MEG3,PDCD4
FTH1P3,SP1
FTH1P3,RELA
NORAD,ZEB2
OIP5-AS1,CDK14
THORLNC,MYC
FOXD2-AS1,CCND1
HAGLR,MMP9
LOC441178,ROCK1
TUG1,miR-219a-5p
FOXM1,TUG1
FALEC,AKT1
LINC01606,miR-423-5p
SNHG14,PABPC1
HOTAIR,MET
PVT1,GREM1
GAS5,FOXO3
uc003fir,CCL5
TBILA,GCSAM
SNHG1,CDKN2B
SNHG1,KLF2
SNHG1,CCND2
NEAT1,miR-342-3p
GSC-DT,BMI1
NKX2-1-AS1,CD274
ZEB1-AS1,VIM
ZEB1-AS1,CDH2
ZEB1-AS1,CDH1
ZEB1-AS1,MAPK1
